link_id;flow
231427;22.284499999999998
231428;22.284499999999998
231738;128.30649999999997
231747;126.71049999999998
232734;247.051
232761;56.1575
232762;56.1575
233766;56.07
233770;56.07
235022;35.689499999999995
235023;35.689499999999995
237875;38.906
237876;38.906
240670;179.4485
240910;155.428
241215;214.81949999999998
241594;47.932500000000005
241595;47.932500000000005
242558;195.727
242581;70.553
243591;86.4255
244075;29.060499999999998
244076;29.060499999999998
24533;214.5955
246548;10.416
246549;10.416
249029;129.01
249818;128.7965
249821;149.184
250003;122.885
251923;225.40699999999998
254037;39.556999999999995
254038;39.556999999999995
255048;56.1365
255690;73.48249999999999
259803;22.805999999999997
259804;22.805999999999997
260197;91.5285
261147;195.727
262022;33.18
262023;33.18
262102;43.3475
262103;43.3475
262742;128.30649999999997
262886;59.930499999999995
265029;8.6345
265030;8.6345
265419;20.8005
265420;20.8005
26753;53.11599999999999
26754;53.11599999999999
268646;22.736
268647;22.736
269530;207.90349999999998
269540;207.90349999999998
271630;23.156
271631;23.156
274082;34.198499999999996
274083;34.198499999999996
274402;119.2065
275392;221.445
275412;27.083
275413;27.083
276394;56.339499999999994
276395;56.339499999999994
277515;21.238
277516;21.238
279363;91.5285
279450;75.544
279451;75.544
281856;33.1835
281857;33.1835
282654;21.483
282655;21.483
283009;119.4935
283010;119.4935
285210;60.497499999999995
285211;60.497499999999995
287098;225.40699999999998
289488;34.363
289489;34.363
290085;286.769
290089;286.769
290345;124.20799999999998
292040;136.087
292117;136.087
294131;170.506
294767;119.2065
295274;22.1095
295275;22.1095
296648;224.259
296653;261.41499999999996
30247;221.445
30626;32.123
30627;32.123
31602;23.750999999999998
31603;23.750999999999998
33135;155.428
33783;28.1575
33784;28.1575
33813;121.3415
35058;200.8475
38244;202.18800000000002
40196;152.096
40212;132.643
40243;145.0505
42238;261.41499999999996
42837;225.225
43203;148.652
4634;140.861
46411;146.384
46881;110.92899999999999
47274;28.335999999999995
47275;28.335999999999995
48137;214.5955
48245;128.709
48425;134.95649999999998
48862;41.2335
48863;41.2335
51696;38.5805
51697;38.5805
52026;89.30949999999999
52055;89.30949999999999
53473;19.81
53474;19.81
53508;20.544999999999998
53509;20.544999999999998
55036;25.4135
55064;25.4135
55300;18.101999999999997
55301;18.101999999999997
57602;10.185
57603;10.185
58733;48.44349999999999
58734;48.44349999999999
59048;24.64
59049;24.64
59379;79.282
60028;50.564499999999995
60029;50.564499999999995
61048;137.02499999999998
62990;73.48249999999999
63287;19.043499999999998
63288;19.043499999999998
63648;53.455499999999994
63649;53.455499999999994
63763;116.51149999999998
63764;116.51149999999998
65531;47.278
65604;47.278
67292;91.48999999999998
71213;37.460499999999996
72618;124.20799999999998
74098;11.116
74099;11.116
75357;121.3415
75525;162.32299999999998
75767;39.165
75768;39.165
75875;31.4055
75876;31.4055
78129;153.30349999999999
78130;153.30349999999999
78808;146.384
80508;122.885
80929;202.18800000000002
85518;214.81949999999998
89238;128.709
90262;28.3255
90263;28.3255
92183;44.576
92184;44.576
97704;56.77
97705;56.77
982;67.648
983;67.648
99320;225.225
pt_383582;110.92899999999999
