mode;euclidean_distance;routed_distance;weight;preceding_purpose;following_purpose
walk;9384.615384615385;12200.0;1422.4568392778795;home;work
walk;9384.615384615385;12200.0;1422.4568392778795;work;home
car;7692.307692307692;10000.0;696.8674248210194;home;education
car;9384.615384615385;12200.0;696.8674248210194;education;home
car;1538.4615384615383;2000.0;2900.742714834512;home;other
car;1538.4615384615383;2000.0;2900.742714834512;other;home
car;1384.6153846153845;1800.0;2900.742714834512;home;other
car;1384.6153846153845;1800.0;2900.742714834512;other;other
car;2384.6153846153848;3100.0;2900.742714834512;other;other
car;1384.6153846153845;1800.0;2900.742714834512;other;home
car;1384.6153846153845;1800.0;2900.742714834512;home;other
car;1384.6153846153845;1800.0;2900.742714834512;other;home
car;1538.4615384615383;2000.0;1070.478970483692;home;other
car;15384.615384615385;20000.0;1070.478970483692;other;work
car;13000.0;16900.0;1070.478970483692;work;home
car;6153.846153846153;8000.0;697.2361855496011;home;leisure
car;1384.6153846153845;1800.0;697.2361855496011;leisure;shop
car;5692.307692307692;7400.0;697.2361855496011;shop;home
car;6153.846153846153;8000.0;697.2361855496011;home;leisure
car;6153.846153846153;8000.0;697.2361855496011;leisure;home
car;3846.153846153846;5000.0;3240.381477236603;home;shop
car;3461.5384615384614;4500.0;3240.381477236603;shop;home
car;3076.9230769230767;4000.0;2530.6188006636016;home;other
car;3923.076923076923;5100.0;2530.6188006636016;other;home
car;2384.6153846153848;3100.0;2530.6188006636016;home;other
car;2769.230769230769;3600.0;2530.6188006636016;other;home
car;5461.538461538461;7100.0;2530.6188006636016;home;other
car;4692.307692307692;6100.0;2530.6188006636016;other;shop
car;2307.6923076923076;3000.0;2530.6188006636016;shop;home
pt;33923.07692307692;44100.0;632.4028757677046;home;work
walk;230.76923076923077;300.0;611.3809099523811;work;shop
walk;230.76923076923077;300.0;611.3809099523811;shop;work
pt;33846.153846153844;44000.0;632.4028757677046;work;home
car_passenger;22769.23076923077;29600.0;3481.117982798417;home;work
car_passenger;22769.23076923077;29600.0;3481.117982798417;work;home
car;15384.615384615385;20000.0;2562.7448231368007;home;work
car;19538.46153846154;25400.0;2562.7448231368007;work;leisure
car;13153.846153846154;17100.0;2562.7448231368007;leisure;home
car;4615.384615384615;6000.0;578.702183450819;home;work
car;3692.3076923076924;4800.0;578.702183450819;work;home
car;3692.3076923076924;4800.0;578.702183450819;home;work
car;3692.3076923076924;4800.0;578.702183450819;work;home
walk;384.6153846153846;500.0;486.8109211352645;home;work
walk;692.3076923076923;900.0;486.8109211352645;work;home
car;769.2307692307692;1000.0;640.258288049346;home;work
car;1230.7692307692307;1600.0;640.258288049346;work;home
pt;4384.615384615385;5700.0;405.6738465207875;leisure;work
pt;47076.92307692308;61200.0;405.6738465207875;work;home
walk;230.76923076923077;300.0;742.8856741946448;home;shop
walk;230.76923076923077;300.0;742.8856741946448;shop;home
walk;461.53846153846155;600.0;506.473249832325;home;shop
walk;461.53846153846155;600.0;506.473249832325;shop;home
car;1538.4615384615383;2000.0;743.3918237470652;home;other
car;1538.4615384615383;2000.0;743.3918237470652;other;shop
car;1923.076923076923;2500.0;743.3918237470652;shop;home
car;6615.384615384615;8600.0;743.3918237470652;home;other
car;8923.076923076922;11600.0;743.3918237470652;other;other
car;2769.230769230769;3600.0;743.3918237470652;other;home
pt;3307.6923076923076;4300.0;1118.0093110807063;home;other
