road_type,Kreis_Name,Str,TKZST,Anfang,Ende,FSOD,FStr,Laenge_km,Land,Zaehlart,Kreis,VonNK,NachNK,Station_km,Herkunft,Ziel,DTV_2010,DTV_2015,DTV_2019,DTV,DTVw,DTVu,DTVs,DTV_LV,DTV_SV,DTV_Bus,DTV_LoA,DTV_LZ,DTV_Ri1,DTV_Ri2,DTV_SV_Ri1,DTV_SV_Ri2,X_Koordinate,Y_Koordinate
Bundesstrasse,Eichstaett,B 13,70329100,L 2216 (Weißenburg),"L 2047 (KV ""Schernfeld"")",FS,2,8.666,9,TM,176,7032005,7032010,4.265,Ansbach,Ingolstadt,4456,578,632,4388,4679,4145,3695,3789,599,12,137,450,,,,,655827.154,5422575.745
Bundesstrasse,Eichstaett,B 13,70329101,"L 2047 (KV ""Schernfeld""))",L 2230 (OA Eichstätt),FS,2,3.357,9,TM,176,7032012,7033018,0.283,Ansbach,Ingolstadt,7276,6810,7416,6616,7317,6266,4650,5969,647,30,189,428,,,,,658782.443,5418925.347
Bundesstrasse,Eichstaett,B 13,71339103,L 2230 (OA Eichstätt),L 2230 (Pirkheimer Brücke),OD,2,2.981,9,TM,176,7133001,7133016,1.006,Ansbach,Ingolstadt,12651,13153,14356,11855,12687,12687,7791,11164,691,69,222,400,,,,,659900.829,5417532.335
Bundesstrasse,Eichstaett,B 13,71339102,L 2230(Pirkheimer Brücke Eichstätt),L 2035 (Weißenkirchen),FS,3,3.341,9,DZ,176,7133016,7133024,0.169,Ansbach,Ingolstadt,12467,13896,14255,12658,14019,12614,7956,11911,747,48,238,462,6414,6244,378,370,661655.493,5416266.319
Bundesstrasse,Eichstaett,B 13,71339101,L 2035 (Weißenkirchen),K EI 51 (Eitensheim),FS,3,9.349,9,TM,176,7133009,7133022,2.491,Ansbach,Ingolstadt,9735,11907,12991,11302,13011,9881,7296,10548,754,59,235,460,,,,,667797.115,5412159.369
Bundesstrasse,Eichstaett,B 13,71339100,K EI 51 (Eitensheim),"L 2214 (KV ""Gabel"")",FS,2,4.451,9,TM,176,7134034,7234005,2.002,Ansbach,Ingolstadt,7683,7305,7953,7738,8202,8202,5462,7075,663,41,201,421,,,,,671229.908,5408773.896
Bundesstrasse,Eichstaett,B 13,72349102,"L 2214 (KV ""Gabel"")",Ingolstadt St,FS,2,2.006,9,TM,176,7234005,7234007,0.686,Ansbach,Ingolstadt,18205,19912,20461,15077,17182,14536,8458,14384,693,67,257,369,,,,,672670.407,5406089.072
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 13,72349114,B 16 (Oberstimm),L 2049 (Reichertshofen),FS,2,5.683,9,TM19,186,7234064,7334025,1.426,Ingolstadt,München,14129,14294,14842,12736,13736,14273,7104,11810,926,63,305,558,,,,,679883.932,5397990.791
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 13,73349105,L 2049 (Reichertshofen),B 300 (Starkertshofen),FS,2,3.05,9,TM18,186,7334025,7334034,0.968,Ingolstadt,München,6311,6973,6830,5996,,,,5230,766,19,232,515,,,,,680749.361,5393091.039
Bundesstrasse,Pfaffenhofen a.d.Ilm,B 13,74359102,B 300 (Freinhausen),K PAF 9 (Haimpertshofen),FS,2,9.153,9,TM17,186,7334032,7435004,0.969,Ingolstadt,München,6161,6497,7406,6367,,,,6028,339,21,110,208,,,,,684525.004,5383626.116
